entry_key, query, target_pdb_id, target_chains, target_uniprot_ids, target_ligand, num_apo_sites, num_holo_sites, target_experimental_method, target_resolution, sasa, sasa_avg, view_url, download_url
1a4i-A-NDP-302, 1a4i A NDP 302, 1a4i, A, P11586, NDP, 0, 12, X-RAY_DIFFRACTION, 1.5, 815.46, 37.07, http://apoholo.cz/db/entry/1a4i-A-NDP-302, http://apoholo.cz/api/db/entry/1a4i-A-NDP-302/download/1a4i-A-NDP-302.zip
1a4i-B-NDP-302, 1a4i B NDP 302, 1a4i, B, P11586, NDP, 0, 12, X-RAY_DIFFRACTION, 1.5, 875.41, 39.79, http://apoholo.cz/db/entry/1a4i-B-NDP-302, http://apoholo.cz/api/db/entry/1a4i-B-NDP-302/download/1a4i-B-NDP-302.zip
1a6g-A-HEM-154, 1a6g A HEM 154, 1a6g, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.15, 852.85, 40.61, http://apoholo.cz/db/entry/1a6g-A-HEM-154, http://apoholo.cz/api/db/entry/1a6g-A-HEM-154/download/1a6g-A-HEM-154.zip
1a6k-A-HEM-154, 1a6k A HEM 154, 1a6k, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.1, 832.72, 41.64, http://apoholo.cz/db/entry/1a6k-A-HEM-154, http://apoholo.cz/api/db/entry/1a6k-A-HEM-154/download/1a6k-A-HEM-154.zip
1a6m-A-HEM-154, 1a6m A HEM 154, 1a6m, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.0, 814.08, 40.7, http://apoholo.cz/db/entry/1a6m-A-HEM-154, http://apoholo.cz/api/db/entry/1a6m-A-HEM-154/download/1a6m-A-HEM-154.zip
1a6n-A-HEM-154, 1a6n A HEM 154, 1a6n, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.15, 848.31, 40.4, http://apoholo.cz/db/entry/1a6n-A-HEM-154, http://apoholo.cz/api/db/entry/1a6n-A-HEM-154/download/1a6n-A-HEM-154.zip
1abs-A-HEM-154, 1abs A HEM 154, 1abs, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.5, 872.76, 43.64, http://apoholo.cz/db/entry/1abs-A-HEM-154, http://apoholo.cz/api/db/entry/1abs-A-HEM-154/download/1abs-A-HEM-154.zip
1b0b-A-HEM-144, 1b0b A HEM 144, 1b0b, A, P41260, HEM, 0, 3, X-RAY_DIFFRACTION, 1.43, 843.67, 44.4, http://apoholo.cz/db/entry/1b0b-A-HEM-144, http://apoholo.cz/api/db/entry/1b0b-A-HEM-144/download/1b0b-A-HEM-144.zip
1b0u-A-ATP-301, 1b0u A ATP 301, 1b0u, A, P02915, ATP, 0, 0, X-RAY_DIFFRACTION, 1.5, 620.98, 47.77, http://apoholo.cz/db/entry/1b0u-A-ATP-301, http://apoholo.cz/api/db/entry/1b0u-A-ATP-301/download/1b0u-A-ATP-301.zip
1b4v-A-FAD-510, 1b4v A FAD 510, 1b4v, A, P12676, FAD, 0, 22, X-RAY_DIFFRACTION, 1.5, 748.47, 17.82, http://apoholo.cz/db/entry/1b4v-A-FAD-510, http://apoholo.cz/api/db/entry/1b4v-A-FAD-510/download/1b4v-A-FAD-510.zip
1bab-A-HEM-143, 1bab A HEM 143, 1bab, A, P69905, HEM, 0, 650, X-RAY_DIFFRACTION, 1.5, 855.18, 40.72, http://apoholo.cz/db/entry/1bab-A-HEM-143, http://apoholo.cz/api/db/entry/1bab-A-HEM-143/download/1bab-A-HEM-143.zip
1bab-B-HEM-147, 1bab B HEM 147, 1bab, B, P68871, HEM, 2, 650, X-RAY_DIFFRACTION, 1.5, 786.72, 39.34, http://apoholo.cz/db/entry/1bab-B-HEM-147, http://apoholo.cz/api/db/entry/1bab-B-HEM-147/download/1bab-B-HEM-147.zip
1bab-C-HEM-143, 1bab C HEM 143, 1bab, C, P69905, HEM, 0, 650, X-RAY_DIFFRACTION, 1.5, 855.27, 40.73, http://apoholo.cz/db/entry/1bab-C-HEM-143, http://apoholo.cz/api/db/entry/1bab-C-HEM-143/download/1bab-C-HEM-143.zip
1bab-D-HEM-147, 1bab D HEM 147, 1bab, D, P68871, HEM, 2, 650, X-RAY_DIFFRACTION, 1.5, 832.96, 39.66, http://apoholo.cz/db/entry/1bab-D-HEM-147, http://apoholo.cz/api/db/entry/1bab-D-HEM-147/download/1bab-D-HEM-147.zip
1bw9-A-NAD-360, 1bw9 A NAD 360, 1bw9, A, Q59771, NAD, 0, 6, X-RAY_DIFFRACTION, 1.5, 955.09, 39.8, http://apoholo.cz/db/entry/1bw9-A-NAD-360, http://apoholo.cz/api/db/entry/1bw9-A-NAD-360/download/1bw9-A-NAD-360.zip
1bw9-B-NAD-760, 1bw9 B NAD 760, 1bw9, B, Q59771, NAD, 0, 6, X-RAY_DIFFRACTION, 1.5, 762.63, 47.66, http://apoholo.cz/db/entry/1bw9-B-NAD-760, http://apoholo.cz/api/db/entry/1bw9-B-NAD-760/download/1bw9-B-NAD-760.zip
1byq-A-ADP-2001, 1byq A ADP 2001, 1byq, A, P07900, ADP, 19, 368, X-RAY_DIFFRACTION, 1.5, 410.79, 29.34, http://apoholo.cz/db/entry/1byq-A-ADP-2001, http://apoholo.cz/api/db/entry/1byq-A-ADP-2001/download/1byq-A-ADP-2001.zip
1bz0-A-HEM-142, 1bz0 A HEM 142, 1bz0, A, P69905, HEM, 0, 650, X-RAY_DIFFRACTION, 1.5, 842.57, 40.12, http://apoholo.cz/db/entry/1bz0-A-HEM-142, http://apoholo.cz/api/db/entry/1bz0-A-HEM-142/download/1bz0-A-HEM-142.zip
1bz0-B-HEM-147, 1bz0 B HEM 147, 1bz0, B, P68871, HEM, 2, 650, X-RAY_DIFFRACTION, 1.5, 794.61, 39.73, http://apoholo.cz/db/entry/1bz0-B-HEM-147, http://apoholo.cz/api/db/entry/1bz0-B-HEM-147/download/1bz0-B-HEM-147.zip
1bz0-C-HEM-142, 1bz0 C HEM 142, 1bz0, C, P69905, HEM, 0, 650, X-RAY_DIFFRACTION, 1.5, 847.01, 40.33, http://apoholo.cz/db/entry/1bz0-C-HEM-142, http://apoholo.cz/api/db/entry/1bz0-C-HEM-142/download/1bz0-C-HEM-142.zip
1bz0-D-HEM-147, 1bz0 D HEM 147, 1bz0, D, P68871, HEM, 2, 650, X-RAY_DIFFRACTION, 1.5, 813.84, 38.75, http://apoholo.cz/db/entry/1bz0-D-HEM-147, http://apoholo.cz/api/db/entry/1bz0-D-HEM-147/download/1bz0-D-HEM-147.zip
1bz6-A-HEM-154, 1bz6 A HEM 154, 1bz6, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.2, 855.81, 42.79, http://apoholo.cz/db/entry/1bz6-A-HEM-154, http://apoholo.cz/api/db/entry/1bz6-A-HEM-154/download/1bz6-A-HEM-154.zip
1bzp-A-HEM-154, 1bzp A HEM 154, 1bzp, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.15, 922.27, 46.11, http://apoholo.cz/db/entry/1bzp-A-HEM-154, http://apoholo.cz/api/db/entry/1bzp-A-HEM-154/download/1bzp-A-HEM-154.zip
1bzr-A-HEM-154, 1bzr A HEM 154, 1bzr, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.15, 863.39, 43.17, http://apoholo.cz/db/entry/1bzr-A-HEM-154, http://apoholo.cz/api/db/entry/1bzr-A-HEM-154/download/1bzr-A-HEM-154.zip
1c0k-A-FAD-1363, 1c0k A FAD 1363, 1c0k, A, P80324, FAD, 0, 3, X-RAY_DIFFRACTION, 1.46, 895.31, 21.32, http://apoholo.cz/db/entry/1c0k-A-FAD-1363, http://apoholo.cz/api/db/entry/1c0k-A-FAD-1363/download/1c0k-A-FAD-1363.zip
1c0p-A-FAD-1363, 1c0p A FAD 1363, 1c0p, A, P80324, FAD, 0, 3, X-RAY_DIFFRACTION, 1.2, 918.52, 21.87, http://apoholo.cz/db/entry/1c0p-A-FAD-1363, http://apoholo.cz/api/db/entry/1c0p-A-FAD-1363/download/1c0p-A-FAD-1363.zip
1c1x-A-NAD-360, 1c1x A NAD 360, 1c1x, A, Q59771, NAD, 0, 6, X-RAY_DIFFRACTION, 1.4, 969.79, 35.92, http://apoholo.cz/db/entry/1c1x-A-NAD-360, http://apoholo.cz/api/db/entry/1c1x-A-NAD-360/download/1c1x-A-NAD-360.zip
1c1x-B-NAD-760, 1c1x B NAD 760, 1c1x, B, Q59771, NAD, 0, 6, X-RAY_DIFFRACTION, 1.4, 1100.0, 39.29, http://apoholo.cz/db/entry/1c1x-B-NAD-760, http://apoholo.cz/api/db/entry/1c1x-B-NAD-760/download/1c1x-B-NAD-760.zip
1c52-A-HEM-200, 1c52 A HEM 200, 1c52, A, P04164, HEM, 0, 4, X-RAY_DIFFRACTION, 1.28, 1006.47, 35.95, http://apoholo.cz/db/entry/1c52-A-HEM-200, http://apoholo.cz/api/db/entry/1c52-A-HEM-200/download/1c52-A-HEM-200.zip
1c75-A-HEC-93, 1c75 A HEC 93, 1c75, A, P82599, HEC, 0, 4, X-RAY_DIFFRACTION, 0.97, 1153.89, 46.16, http://apoholo.cz/db/entry/1c75-A-HEC-93, http://apoholo.cz/api/db/entry/1c75-A-HEC-93/download/1c75-A-HEC-93.zip
1ccr-A-HEC-112, 1ccr A HEC 112, 1ccr, A, Q0DI31, HEC, 0, 0, X-RAY_DIFFRACTION, 1.5, 922.85, 32.96, http://apoholo.cz/db/entry/1ccr-A-HEC-112, http://apoholo.cz/api/db/entry/1ccr-A-HEC-112/download/1ccr-A-HEC-112.zip
1ctj-A-HEM-91, 1ctj A HEM 91, 1ctj, A, Q09099, HEM, 0, 2, X-RAY_DIFFRACTION, 1.1, 1055.97, 42.24, http://apoholo.cz/db/entry/1ctj-A-HEM-91, http://apoholo.cz/api/db/entry/1ctj-A-HEM-91/download/1ctj-A-HEM-91.zip
1cyo-A-HEM-201, 1cyo A HEM 201, 1cyo, A, P00171, HEM, 0, 27, X-RAY_DIFFRACTION, 1.5, 950.51, 45.26, http://apoholo.cz/db/entry/1cyo-A-HEM-201, http://apoholo.cz/api/db/entry/1cyo-A-HEM-201/download/1cyo-A-HEM-201.zip
1d06-A-HEM-501, 1d06 A HEM 501, 1d06, A, P10955, HEM, 0, 1, X-RAY_DIFFRACTION, 1.4, 1012.08, 36.15, http://apoholo.cz/db/entry/1d06-A-HEM-501, http://apoholo.cz/api/db/entry/1d06-A-HEM-501/download/1d06-A-HEM-501.zip
1d2u-A-HEM-185, 1d2u A HEM 185, 1d2u, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.15, 750.3, 34.1, http://apoholo.cz/db/entry/1d2u-A-HEM-185, http://apoholo.cz/api/db/entry/1d2u-A-HEM-185/download/1d2u-A-HEM-185.zip
1d3s-A-HEM-185, 1d3s A HEM 185, 1d3s, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.4, 805.27, 36.6, http://apoholo.cz/db/entry/1d3s-A-HEM-185, http://apoholo.cz/api/db/entry/1d3s-A-HEM-185/download/1d3s-A-HEM-185.zip
1d4o-A-NAP-201, 1d4o A NAP 201, 1d4o, A, P11024, NAP, 0, 0, X-RAY_DIFFRACTION, 1.21, 1463.97, 52.28, http://apoholo.cz/db/entry/1d4o-A-NAP-201, http://apoholo.cz/api/db/entry/1d4o-A-NAP-201/download/1d4o-A-NAP-201.zip
1dgf-A-HEM-3000, 1dgf A HEM 3000, 1dgf, A C, P04040, HEM, 0, 41, X-RAY_DIFFRACTION, 1.5, 539.56, 16.86, http://apoholo.cz/db/entry/1dgf-A-HEM-3000, http://apoholo.cz/api/db/entry/1dgf-A-HEM-3000/download/1dgf-A-HEM-3000.zip
1dgf-A-NDP-4000, 1dgf A NDP 4000, 1dgf, A, P04040, NDP, 11, 30, X-RAY_DIFFRACTION, 1.5, 829.48, 41.47, http://apoholo.cz/db/entry/1dgf-A-NDP-4000, http://apoholo.cz/api/db/entry/1dgf-A-NDP-4000/download/1dgf-A-NDP-4000.zip
1dgf-B-HEM-3001, 1dgf B HEM 3001, 1dgf, B D, P04040, HEM, 0, 41, X-RAY_DIFFRACTION, 1.5, 536.88, 16.78, http://apoholo.cz/db/entry/1dgf-B-HEM-3001, http://apoholo.cz/api/db/entry/1dgf-B-HEM-3001/download/1dgf-B-HEM-3001.zip
1dgf-C-HEM-3002, 1dgf C HEM 3002, 1dgf, A C, P04040, HEM, 0, 41, X-RAY_DIFFRACTION, 1.5, 549.65, 17.18, http://apoholo.cz/db/entry/1dgf-C-HEM-3002, http://apoholo.cz/api/db/entry/1dgf-C-HEM-3002/download/1dgf-C-HEM-3002.zip
1dgf-C-NDP-4001, 1dgf C NDP 4001, 1dgf, C, P04040, NDP, 11, 30, X-RAY_DIFFRACTION, 1.5, 1000.35, 47.64, http://apoholo.cz/db/entry/1dgf-C-NDP-4001, http://apoholo.cz/api/db/entry/1dgf-C-NDP-4001/download/1dgf-C-NDP-4001.zip
1dgf-D-HEM-3003, 1dgf D HEM 3003, 1dgf, B D, P04040, HEM, 0, 41, X-RAY_DIFFRACTION, 1.5, 519.86, 16.25, http://apoholo.cz/db/entry/1dgf-D-HEM-3003, http://apoholo.cz/api/db/entry/1dgf-D-HEM-3003/download/1dgf-D-HEM-3003.zip
1do1-A-HEM-154, 1do1 A HEM 154, 1do1, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.5, 861.56, 45.35, http://apoholo.cz/db/entry/1do1-A-HEM-154, http://apoholo.cz/api/db/entry/1do1-A-HEM-154/download/1do1-A-HEM-154.zip
1dwr-A-HEM-154, 1dwr A HEM 154, 1dwr, A, P68082, HEM, 0, 166, X-RAY_DIFFRACTION, 1.45, 881.09, 44.05, http://apoholo.cz/db/entry/1dwr-A-HEM-154, http://apoholo.cz/api/db/entry/1dwr-A-HEM-154/download/1dwr-A-HEM-154.zip
1dws-A-HEM-154, 1dws A HEM 154, 1dws, A, P68082, HEM, 0, 166, X-RAY_DIFFRACTION, 1.45, 854.04, 42.7, http://apoholo.cz/db/entry/1dws-A-HEM-154, http://apoholo.cz/api/db/entry/1dws-A-HEM-154/download/1dws-A-HEM-154.zip
1dwt-A-HEM-154, 1dwt A HEM 154, 1dwt, A, P68082, HEM, 0, 166, X-RAY_DIFFRACTION, 1.4, 817.27, 40.86, http://apoholo.cz/db/entry/1dwt-A-HEM-154, http://apoholo.cz/api/db/entry/1dwt-A-HEM-154/download/1dwt-A-HEM-154.zip
1dxc-A-HEM-154, 1dxc A HEM 154, 1dxc, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.4, 978.64, 48.93, http://apoholo.cz/db/entry/1dxc-A-HEM-154, http://apoholo.cz/api/db/entry/1dxc-A-HEM-154/download/1dxc-A-HEM-154.zip
